time,open,high,low,close
2007-11-29,2.87700009,2.87700009,2.87700009,2.87700009
2007-12-03,2.98399997,2.98399997,2.98399997,2.98399997
2007-12-04,3.00699997,3.00699997,3.00699997,3.00699997
2007-12-05,3.04200006,3.04200006,3.04200006,3.04200006
2007-12-06,2.93400002,2.93400002,2.93400002,2.93400002
2007-12-10,2.98399997,2.98399997,2.98399997,2.98399997
2007-12-11,2.898,2.898,2.898,2.898
2007-12-12,2.80500007,2.80500007,2.80500007,2.80500007
2007-12-13,2.73799992,2.73799992,2.73799992,2.73799992
2007-12-17,2.86100006,2.86100006,2.86100006,2.86100006
2007-12-18,3.01200008,3.01200008,3.01200008,3.01200008
2007-12-19,2.87700009,2.87700009,2.87700009,2.87700009
2007-12-20,2.75900006,2.75900006,2.75900006,2.75900006
2007-12-26,3.28500009,3.28500009,3.28500009,3.28500009
2007-12-27,3.08899999,3.08899999,3.08899999,3.08899999
2008-01-02,3.23900008,3.23900008,3.23900008,3.23900008
2008-01-03,3.2019999,3.2019999,3.2019999,3.2019999
2008-01-07,3.19099998,3.19099998,3.19099998,3.19099998
2008-01-08,3.21300006,3.21300006,3.21300006,3.21300006
2008-01-09,3.17700005,3.17700005,3.17700005,3.17700005
2008-01-10,3.17600012,3.17600012,3.17600012,3.17600012
2008-01-14,3.0769999,3.0769999,3.0769999,3.0769999
2008-01-15,3.13499999,3.13499999,3.13499999,3.13499999
2008-01-16,3.0940001,3.0940001,3.0940001,3.0940001
2008-01-17,2.98000002,2.98000002,2.98000002,2.98000002
2008-01-22,2.2579999,2.2579999,2.2579999,2.2579999
2008-01-23,1.98699999,1.98699999,1.98699999,1.98699999
2008-01-24,2.17700005,2.17700005,2.17700005,2.17700005
2008-01-28,2.24300003,2.24300003,2.24300003,2.24300003
2008-01-29,2.18799996,2.18799996,2.18799996,2.18799996
2008-01-30,2.06900001,2.06900001,2.06900001,2.06900001
2008-01-31,1.84899998,1.84899998,1.84899998,1.84899998
2008-02-04,2.10500002,2.10500002,2.10500002,2.10500002
2008-02-05,2.15700006,2.15700006,2.15700006,2.15700006
2008-02-06,2.06399989,2.06399989,2.06399989,2.06399989
2008-02-07,2.04900002,2.04900002,2.04900002,2.04900002
2008-02-11,2.18099999,2.18099999,2.18099999,2.18099999
2008-02-12,2.25999999,2.25999999,2.25999999,2.25999999
2008-02-13,2.22399998,2.22399998,2.22399998,2.22399998
2008-02-14,2.25399995,2.25399995,2.25399995,2.25399995
2008-02-19,2.20700002,2.20700002,2.20700002,2.20700002
2008-02-20,2.19799995,2.19799995,2.19799995,2.19799995
2008-02-21,2.18199992,2.18199992,2.18199992,2.18199992
2008-02-25,2.16100001,2.16100001,2.16100001,2.16100001
2008-02-26,2.05500007,2.05500007,2.05500007,2.05500007
2008-02-27,1.90499997,1.90499997,1.90499997,1.90499997
2008-02-28,1.80799997,1.80799997,1.80799997,1.80799997
2008-03-03,1.61199999,1.61199999,1.61199999,1.61199999
2008-03-04,1.57700002,1.57700002,1.57700002,1.57700002
2008-03-05,1.49000001,1.49000001,1.49000001,1.49000001
2008-03-06,1.34599996,1.34599996,1.34599996,1.34599996
2008-03-10,1.30999994,1.30999994,1.30999994,1.30999994
2008-03-11,1.33099997,1.33099997,1.33099997,1.33099997
2008-03-12,1.38199997,1.38199997,1.38199997,1.38199997
2008-03-13,1.28999996,1.28999996,1.28999996,1.28999996
2008-03-17,0.62599999,0.62599999,0.62599999,0.62599999
2008-03-18,0.74900001,0.74900001,0.74900001,0.74900001
2008-03-19,0.55000001,0.55000001,0.55000001,0.55000001
2008-03-24,0.514,0.514,0.514,0.514
2008-03-25,0.97299999,0.97299999,0.97299999,0.97299999
2008-03-26,1.20299995,1.20299995,1.20299995,1.20299995
2008-03-27,1.17299998,1.17299998,1.17299998,1.17299998
2008-03-31,1.26400006,1.26400006,1.26400006,1.26400006
2008-04-01,1.33599997,1.33599997,1.33599997,1.33599997
2008-04-02,1.35699999,1.35699999,1.35699999,1.35699999
2008-04-03,1.30599999,1.30599999,1.30599999,1.30599999
2008-04-07,1.39199996,1.39199996,1.39199996,1.39199996
2008-04-08,1.37199998,1.37199998,1.37199998,1.37199998
2008-04-09,1.29999995,1.29999995,1.29999995,1.29999995
2008-04-10,1.21300006,1.21300006,1.21300006,1.21300006
2008-04-14,1.06500006,1.06500006,1.06500006,1.06500006
2008-04-15,1.16799998,1.16799998,1.16799998,1.16799998
2008-04-16,1.12199998,1.12199998,1.12199998,1.12199998
2008-04-17,1.28499997,1.28499997,1.28499997,1.28499997
2008-04-21,1.32099998,1.32099998,1.32099998,1.32099998
2008-04-22,1.29499996,1.29499996,1.29499996,1.29499996
2008-04-23,1.21899998,1.21899998,1.21899998,1.21899998
2008-04-24,1.25999999,1.25999999,1.25999999,1.25999999
2008-04-28,1.38699996,1.38699996,1.38699996,1.38699996
2008-04-29,1.48500001,1.48500001,1.48500001,1.48500001
2008-04-30,1.352,1.352,1.352,1.352
2008-05-01,1.40799999,1.40799999,1.40799999,1.40799999
2008-05-05,1.58200002,1.58200002,1.58200002,1.58200002
2008-05-06,1.63300002,1.63300002,1.63300002,1.63300002
2008-05-07,1.68499994,1.68499994,1.68499994,1.68499994
2008-05-08,1.65900004,1.65900004,1.65900004,1.65900004
2008-05-12,1.81700003,1.81700003,1.81700003,1.81700003
2008-05-13,1.95700002,1.95700002,1.95700002,1.95700002
2008-05-14,1.81799996,1.81799996,1.81799996,1.81799996
2008-05-15,1.84300005,1.84300005,1.84300005,1.84300005
2008-05-19,1.85800004,1.85800004,1.85800004,1.85800004
2008-05-20,1.84899998,1.84899998,1.84899998,1.84899998
2008-05-21,1.86899996,1.86899996,1.86899996,1.86899996
2008-05-22,1.86899996,1.86899996,1.86899996,1.86899996
2008-05-27,1.91499996,1.91499996,1.91499996,1.91499996
2008-05-28,1.89999998,1.89999998,1.89999998,1.89999998
2008-05-29,1.87899995,1.87899995,1.87899995,1.87899995
2008-06-02,1.83299994,1.83299994,1.83299994,1.83299994
2008-06-03,1.85399997,1.85399997,1.85399997,1.85399997
2008-06-04,1.85399997,1.85399997,1.85399997,1.85399997
2008-06-05,1.85899997,1.85899997,1.85899997,1.85899997
2008-06-09,1.89900005,1.89900005,1.89900005,1.89900005
